,card1,card2,card3,card4,card5,card6,card7,card8,tag
0,Royal Giant,Bats,Skeletons,Electro Spirit,Fisherman,Fireball,Hunter,The Log,PCUY9VL
1,Rocket,The Log,Tornado,Executioner,Valkyrie,Hog Rider,Ice Spirit,Goblins,220U2GV
2,Royal Giant,Mega Minion,Lightning,Baby Dragon,Heal Spirit,Barbarian Barrel,Goblin Cage,Lumberjack,2CLV2RP0
3,Goblin Cage,Mother Witch,The Log,Heal Spirit,Fireball,Royal Recruits,Royal Hogs,Musketeer,8GQ8RY0GL
4,Mega Knight,Goblins,Bats,Miner,Bandit,Musketeer,Zap,Wall Breakers,28VCYVRUJ
5,Skeleton Barrel,The Log,Goblin Barrel,Fireball,Dart Goblin,Skeletons,Bomb Tower,Knight,9JUJLQPL
6,Elixir Golem,Rage,Elite Barbarians,Heal Spirit,Inferno Dragon,Electro Dragon,Arrows,Battle Healer,28RCC0PG2
7,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,929URQCL8
8,Spear Goblins,Elite Barbarians,Heal Spirit,Royal Recruits,Bomber,Fireball,Bats,The Log,2LJ0ULYCC
9,Royal Hogs,Mortar,Skeletons,Earthquake,Bats,Heal Spirit,Royal Delivery,Spear Goblins,228RR0GR
10,Rocket,Valkyrie,Miner,Spear Goblins,Tornado,Tesla,Magic Archer,Wall Breakers,R09228V
11,Lava Hound,Baby Dragon,Lumberjack,Flying Machine,Bats,Skeleton Army,Clone,Arrows,9YPCUGQU
12,Princess,Wall Breakers,The Log,Hunter,Skeletons,Goblin Barrel,Cannon Cart,Bandit,28V9Q0
13,Skeleton Barrel,Mega Knight,Dart Goblin,Barbarian Barrel,Wall Breakers,Bats,Zap,Bandit,L8C0CCU
14,Electro Giant,Musketeer,Tornado,Prince,Bomber,Baby Dragon,Skeletons,Earthquake,LPRR9P
15,Lava Hound,Inferno Dragon,Miner,Skeleton Army,Skeleton Dragons,Elite Barbarians,Fireball,Zap,2LJJ2U2QV
16,Cannon Cart,Electro Wizard,Magic Archer,Royal Ghost,Battle Ram,Bandit,Elite Barbarians,Zap,2RC89GJ
17,P.E.K.K.A,Bandit,Poison,Electro Wizard,Magic Archer,Battle Ram,Zap,Royal Ghost,8QQ8QJ99P
18,Golem,Tornado,Elixir Collector,Electro Dragon,Skeleton Dragons,Lumberjack,Dark Prince,Barbarian Barrel,8L9YQRVQ
19,Lava Hound,Balloon,Tombstone,Fireball,Mega Minion,Baby Dragon,Zap,Barbarians,R0LR9RUQ
20,Dark Prince,Goblin Hut,Hunter,Goblin Barrel,Skeleton Barrel,Firecracker,Earthquake,Mega Knight,PC2PP2RP
21,Electro Wizard,Barbarian Barrel,Heal Spirit,Elite Barbarians,Cannon Cart,Bandit,Mother Witch,Fireball,U9V0VC9L
22,Elixir Golem,Rage,Elite Barbarians,Heal Spirit,Inferno Dragon,Electro Dragon,Arrows,Battle Healer,9LGVVV0J0
23,Arrows,Electro Dragon,Battle Healer,Inferno Dragon,Elixir Golem,Heal Spirit,Rage,Elite Barbarians,2GURUGVC
24,Mortar,Fireball,Skeletons,Zappies,Hunter,Graveyard,Giant Snowball,Knight,LGLL8LLC
25,Royal Giant,Mega Minion,Barbarian Barrel,Heal Spirit,Goblin Cage,Lumberjack,Baby Dragon,Fireball,2PUVCRRV8
26,Spear Goblins,Goblin Gang,Minion Horde,Fireball,Bats,Zap,Mortar,Hog Rider,PUP9PRGU9
27,Ice Spirit,Knight,Goblin Gang,Rocket,Goblin Barrel,Tesla,The Log,Princess,2PJJRLR2C
28,Elixir Golem,Rage,Electro Dragon,Battle Healer,Heal Spirit,Inferno Dragon,Arrows,Elite Barbarians,G0CYJ00J
29,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,PCG229PC
30,Tornado,Goblin Cage,Lightning,Bomber,Ice Wizard,Dark Prince,Baby Dragon,Electro Giant,88CQUJVQP
31,Rocket,Goblin Gang,Ice Spirit,The Log,Valkyrie,Goblin Barrel,Tesla,Princess,GVGGGPJP
32,Mega Knight,Musketeer,Bandit,Miner,Bats,Wall Breakers,Zap,Barbarian Barrel,G90RYCVQ
33,Barbarian Barrel,Elixir Golem,Arrows,Electro Dragon,Night Witch,Baby Dragon,Tornado,Battle Healer,82VRLJCGR
34,Magic Archer,Bomb Tower,Knight,The Log,Tornado,Spear Goblins,Miner,Wall Breakers,YYGPQU8
35,Goblin Barrel,Princess,Wall Breakers,Skeletons,Cannon Cart,Bandit,The Log,Hunter,8PGQJ8UVP
36,Mortar,Goblin Gang,Prince,The Log,Bats,Miner,Spear Goblins,Zap,Q2JRCLGJ
37,P.E.K.K.A,Baby Dragon,Freeze,Electro Wizard,Electro Dragon,Battle Ram,Tornado,Dark Prince,P9PJUUPGY
38,Giant Skeleton,Balloon,Tornado,Fireball,Barbarian Barrel,Ice Wizard,Bomb Tower,Miner,8PYRVGYCL
39,Golem,Bats,Night Witch,Arrows,Skeleton Dragons,Clone,Lumberjack,Skeleton Army,QVPJRV
40,Ram Rider,Mega Knight,Inferno Dragon,Poison,Electro Wizard,Giant Snowball,Barbarian Barrel,Bandit,2Y90QPGLY
41,Giant,Zap,Electro Wizard,Sparky,Fireball,Heal Spirit,Elite Barbarians,Tornado,8LYVUY29
42,Elixir Golem,Elite Barbarians,Battle Healer,Electro Dragon,Inferno Dragon,Heal Spirit,Rage,Arrows,8QRCJQ9Y
43,Sparky,Minion Horde,Giant,Elixir Collector,Rage,Electro Wizard,Dark Prince,Mini P.E.K.K.A,9QUQGV8V
44,Spear Goblins,Graveyard,Poison,Ice Spirit,Knight,Mortar,Barbarian Barrel,Magic Archer,22Q2928GJ
45,Graveyard,Goblin Hut,Giant Skeleton,Ice Wizard,Baby Dragon,Freeze,Dark Prince,Tornado,P92LGYGU
46,Elixir Golem,Rage,Elite Barbarians,Heal Spirit,Inferno Dragon,Electro Dragon,Arrows,Battle Healer,8GPQUPGYP
47,Golem,Ice Wizard,Baby Dragon,Dark Prince,Night Witch,Lightning,Barbarian Barrel,Tornado,20RY9JJRL
48,Ram Rider,Inferno Dragon,Magic Archer,Lumberjack,Bandit,Barbarian Barrel,Giant Snowball,Ice Golem,290QP2C
49,Barbarian Barrel,Zappies,Flying Machine,Fireball,Mother Witch,Royal Hogs,Elite Barbarians,Mega Knight,J89JRRU
50,X-Bow,Tesla,Fireball,Archers,Skeletons,Ice Spirit,Knight,The Log,Y9R22RQ2
51,Knight,Royal Hogs,Mortar,Earthquake,Spear Goblins,Hunter,Royal Delivery,The Log,Y0Y9VL8U
52,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Knight,X-Bow,The Log,828JPJQU8
53,Prince,Electro Giant,Goblin Cage,Ice Wizard,Tornado,Bomber,Baby Dragon,Lightning,892Y20JLY
54,P.E.K.K.A,Royal Ghost,Bandit,Battle Ram,Zap,Electro Wizard,Poison,Magic Archer,2J0UYGQ9R
55,Graveyard,Inferno Dragon,Ice Wizard,Bowler,Baby Dragon,Valkyrie,Tornado,Fireball,2P020JY99
56,Elite Barbarians,Bandit,Royal Ghost,Electro Wizard,Cannon Cart,Magic Archer,Barbarian Barrel,Heal Spirit,980RC809
57,Flying Machine,Mother Witch,Zappies,Royal Hogs,Mega Knight,Elite Barbarians,Barbarian Barrel,Fireball,2PVQJY809
58,Mega Knight,Barbarians,Mother Witch,Flying Machine,Fireball,Barbarian Barrel,Royal Hogs,Zappies,9RLQLC208
59,Giant,Electro Wizard,Heal Spirit,Mini P.E.K.K.A,Sparky,Tornado,Fireball,Zap,PPUVRRR9
60,Electro Wizard,Barbarian Barrel,Heal Spirit,Elite Barbarians,Cannon Cart,Bandit,Mother Witch,Fireball,YGPU280R
61,Barbarian Barrel,Skeleton Dragons,Tornado,Lightning,Golem,Lumberjack,Night Witch,Baby Dragon,2UJU8GRG
62,Goblins,Fireball,Miner,Tornado,Valkyrie,Tesla,Ice Wizard,Wall Breakers,2JRLG8PUQ
63,Knight,Tornado,Tombstone,Baby Dragon,Barbarian Barrel,Ice Wizard,Poison,Graveyard,2VQ9PRQ9Y
64,Goblin Giant,Dark Prince,Rage,Mini P.E.K.K.A,Sparky,Musketeer,Minions,Zap,9G8Q00JVG
65,Mother Witch,Royal Hogs,Musketeer,Goblin Cage,Heal Spirit,Royal Recruits,Fireball,The Log,20YGVQR0R
66,The Log,Princess,Goblin Gang,Ice Spirit,Goblin Barrel,Rocket,Knight,Inferno Tower,8LJVG0L28
67,Elite Barbarians,Arrows,Heal Spirit,Rage,Electro Dragon,Elixir Golem,Inferno Dragon,Battle Healer,V2JGRQYJ
68,Valkyrie,Bomb Tower,Skeletons,Magic Archer,Miner,Poison,Wall Breakers,Tornado,2CU8J88YV
69,Mother Witch,Tornado,Fireball,Royal Giant,Inferno Dragon,Goblin Cage,Baby Dragon,Dark Prince,QULJR90C
70,Miner,Knight,Electro Wizard,Tesla,Skeletons,The Log,Rocket,Royal Delivery,P8VUY20C
71,Heal Spirit,Electro Wizard,Magic Archer,Royal Ghost,Cannon Cart,Bandit,Elite Barbarians,Barbarian Barrel,YQRGLLC0
72,Goblin Barrel,Goblin Gang,Prince,Dart Goblin,Rocket,Giant Snowball,Rascals,Princess,YUJY8JQU
73,Battle Healer,Elixir Golem,Arrows,Rage,Electro Dragon,Inferno Dragon,Heal Spirit,Elite Barbarians,88RUCCQLC
74,The Log,Hog Rider,Princess,Mini P.E.K.K.A,Ice Spirit,Ice Golem,Rocket,Bats,YR8VGYPQ
75,Ice Golem,Hog Rider,Barbarians,Fireball,Skeletons,Wizard,Bomb Tower,Arrows,YRVL9U98
76,Miner,Wall Breakers,Elite Barbarians,Fireball,Spear Goblins,Bats,Tesla,The Log,2QGYJ90G
77,Ram Rider,Inferno Dragon,Magic Archer,Lumberjack,Bandit,Barbarian Barrel,Fireball,Ice Golem,RP0PGQ9V
78,Tornado,Barbarian Barrel,Baby Dragon,Poison,Ice Wizard,Knight,Bomb Tower,Graveyard,8J2QU0CP
79,Elixir Golem,Inferno Dragon,Rage,Heal Spirit,Battle Healer,Electro Dragon,Elite Barbarians,Arrows,PY929QJ2
80,Lumberjack,Balloon,Freeze,Baby Dragon,Guards,Barbarian Barrel,Furnace,Mega Minion,UL0JU92V
81,Rocket,Ice Spirit,Hog Rider,The Log,Valkyrie,Executioner,Tornado,Goblins,22RVJGC8V
82,Golem,Night Witch,Baby Dragon,Mega Minion,Lumberjack,Bomber,Tornado,Lightning,GGV9YLQY
